segment_type,segment_value,threshold,precision,recall,f1,tp,fp,notes_found,total_linked,top1_recall,top3_recall,top5_recall,workload_savings
amount,<5k,0.7,0.7941176470588235,0.9642857142857143,0.8709677419354839,27,7,27,28,0.9642857142857143,1.0,1.0,1.0
amount,5k-10k,0.7,0.4444444444444444,1.0,0.6153846153846153,20,25,20,20,1.0,1.0,1.0,1.0
amount,10k-50k,0.7,1.0,1.0,1.0,8,0,8,8,1.0,1.0,1.0,1.0
tx_reference,no_reference,0.7,0.632183908045977,0.873015873015873,0.7333333333333333,55,32,55,63,0.873015873015873,0.8888888888888888,0.8888888888888888,0.8888888888888888
