threshold,precision,recall,f1,tp,fp,notes_found,total_linked,top1_recall,top3_recall,top5_recall,workload_savings
0.5,0.11177644710578842,0.8888888888888888,0.19858156028368792,56,445,56,63,0.873015873015873,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.6,0.3660130718954248,0.8888888888888888,0.5185185185185185,56,97,56,63,0.873015873015873,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.7,0.632183908045977,0.873015873015873,0.7333333333333333,55,32,55,63,0.873015873015873,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.8,0.9473684210526315,0.8571428571428571,0.9,54,3,54,63,0.873015873015873,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.9,1.0,0.6666666666666666,0.8,42,0,42,63,0.873015873015873,0.8888888888888888,0.8888888888888888,0.8888888888888888
