threshold,precision,recall,f1,tp,fp,notes_found,total_linked,top1_recall,top3_recall,batch
0.81,0.9333333333333333,0.7714285714285715,0.8446927374301676,28,2,27,35,0.8857142857142857,0.9142857142857143,2
0.8200000000000001,0.9655172413793104,0.7714285714285715,0.8576290414066932,28,1,27,35,0.8857142857142857,0.9142857142857143,2
0.8300000000000001,1.0,0.7714285714285715,0.870967741935484,28,0,27,35,0.8857142857142857,0.9142857142857143,2
0.8400000000000001,1.0,0.7714285714285715,0.870967741935484,28,0,27,35,0.8857142857142857,0.9142857142857143,2
0.8500000000000001,1.0,0.7714285714285715,0.870967741935484,28,0,27,35,0.8857142857142857,0.9142857142857143,2
0.8600000000000001,1.0,0.7714285714285715,0.870967741935484,28,0,27,35,0.8857142857142857,0.9142857142857143,2
0.7,0.5957446808510638,0.7222222222222222,0.652914798206278,28,19,26,36,0.8611111111111112,0.9444444444444444,3
0.71,0.6222222222222222,0.7222222222222222,0.6685032139577594,28,17,26,36,0.8611111111111112,0.9444444444444444,3
0.72,0.6511627906976745,0.7222222222222222,0.684854186265287,28,15,26,36,0.8611111111111112,0.9444444444444444,3
0.73,0.6829268292682927,0.7222222222222222,0.7020250723240116,28,13,26,36,0.8611111111111112,0.9444444444444444,3
0.74,0.717948717948718,0.7222222222222222,0.7200791295746785,28,11,26,36,0.8611111111111112,0.9444444444444444,3
0.75,0.717948717948718,0.7222222222222222,0.7200791295746785,28,11,26,36,0.8611111111111112,0.9444444444444444,3
0.76,0.7368421052631579,0.7222222222222222,0.7294589178356713,28,10,26,36,0.8611111111111112,0.9444444444444444,3
0.77,0.7567567567567568,0.7222222222222222,0.7390862944162437,28,9,26,36,0.8611111111111112,0.9444444444444444,3
0.78,0.8,0.7222222222222222,0.759124087591241,28,7,26,36,0.8611111111111112,0.9444444444444444,3
0.79,0.8235294117647058,0.7222222222222222,0.7695560253699789,28,6,26,36,0.8611111111111112,0.9444444444444444,3
